Lng,Lat,City,Address
-70.85616,42.50234, USA-Marblehead, Marlborough 189 Boston Post Road West Marlborough
-117.1678,32.7315, USA-San Diego, Horton Plaza Relocation 324 Horton Plaza San Diego
-96.80412,32.7796, USA-Dallas, Preston & Forest 11919 Preston Road Dallas
-116.81333,33.92637, USA-Cabazon, Cabazon 48750 Seminole Dr Cabazon
-122.40769,37.78432, USA-San Francisco, 865 Market-SF Centre 865 Market Street San Francisco
-87.65347,41.91808, USA-Chicago, Wilson & Magnolia (UCO) 4600 North Magnolia Chicago
-117.77623,33.89089, USA-Yorba Linda, Eastlake Village-Yorba Linda 20355 Yorba Linda Blvd Yorba Linda
-117.2324,33.59776, USA-Wildomar, Albertsons-Wildomar #6735 23805 Clinton Keith Rd Wildomar
-73.9906,40.74034, USA-New York, 2nd Ave. & 9th Street 145 2nd Avenue New York
-76.6159,39.3269, USA-Baltimore, Gallery at Harborplace 200 East Pratt Street Baltimore
-90.55877,41.557, USA-Davenport, Davenport-Kimberly & Bridge 1050 E Kimberly Rd Davenport
-85.95153,39.20049, USA-Columbus, Dyer
-104.94077,39.69924, USA-Glendale, Colorado Blvd. (B&N) 960 S. Colorado Blvd. Glendale
-95.6267,30.0731, USA-Tomball, Loop 323 & Troup 1817 E. Southeast Loop 323 Tyler
-84.2883,39.2558, USA-Cincinnati, McMillan & Clifton 202 W. McMillen Cincinnati
-88.35768,44.24395, USA-Appleton, Green Bay-Oneida St & Ramada Way 2883 S. Oneida St. Ashwaubenon
-86.56294,35.97849, USA-Smyrna, Buffalo Gap & Hwy. 83 4150 Buffalo Gap Road Abilene
-85.72301,42.8868, USA-Wyoming, Target Andover T-2025 2000 Bonker Lake Blvd NW Andover
-122.30784,47.31505, USA-Federal Way, Twin Lakes/Fred Meyer 33702 21st Ave SW Federal Way
-97.05542,33.07152, USA-Flower Mound, Albertsons-Fort Worth #4124 7400 Oakmont Fort Worth
-83.9867,34.0678, USA-Buford, Millcreek Walk 3264 Buford Drive Buford
-73.98083,40.76444, USA-New York, Crowne Plaza-Niagara Falls NY-Lobby 300 Third Street Niagara Falls
-122.14911,37.42772, USA-Palo Alto, 2000 El Camino-Palo Alto 2000 El Camino Real Palo Alto
-87.95666,42.38373, USA-Gurnee, Gurnee Mills Mall 6170 W. Grand Ave Gurnee
-103.25198,44.07989, USA-Rapid City, Rapid City-Rushmore Mall 2200 Maple Avenue Rapid City
-70.71806,42.09404, USA-Marshfield, Medford-Star Market 2151 Mystic Valley Parkway Medford
